
============================================================
Trace references:
          race_id gender  reference_time  reference_log  reference_std  n_total  n_used
Казанский марафон      M          5889.0       8.680841      46.639416     9979     401
 Чемпионат России      M          8090.5       8.998446      28.114487      247      10
       Белые ночи      M         10530.0       9.261984      41.160818    10149     407
     Дорога жизни      M         10601.5       9.268751      31.812911     8393     336
 Пермский марафон      M          9755.0       9.185535     122.680975     1863      75
Казанский марафон      F          6272.0       8.743851      78.218873     2406      96
       Белые ночи      F         11510.5       9.351015     185.598523     2202      88
 Пермский марафон      F          9585.0       9.167955     149.148040      286      12
     Дорога жизни      F         11928.0       9.386644     114.266759     2387      97
 Чемпионат России      F          8932.0       9.097396      43.792304       64       3

============================================================
Age references (by race):

Казанский марафон:
gender  age  age_median_time  age_median_log  age_median_std  n_total  age_median_var
     M   28          13405.0        9.503383      564.675857       42   318858.823863
     M   29          13563.0        9.515101      315.971392       41    99837.920704
     M   30          13206.0        9.488427      667.509426       43   445568.834146
     M   31          14120.0        9.555348      290.897485       55    84621.346734
     M   32          13527.0        9.512443      523.001067       61   273530.116357
     M   33          14032.0        9.549096       97.708578       72     9546.966275
     M   34          13733.0        9.527557      269.868776       79    72829.156181
     M   35          14246.5        9.564267      357.536650       78   127832.455974
     M   36          14034.5        9.549274      293.771770       86    86301.853040
     M   37          13451.0        9.506809      287.901593       80    82887.327330
     M   38          13758.0        9.529376      385.840057       74   148872.549221
     M   39          13390.5        9.502301      276.568205       88    76489.971803
     M   40          13170.0        9.485697      291.932677       66    85224.687915
     M   41          13757.0        9.529303      297.294373       65    88383.944497
     M   42          13591.0        9.517163      282.310488       63    79699.211834
     M   43          13338.0        9.498372      498.760459       41   248761.995754
     M   44          13092.0        9.479757      446.048811       39   198959.542085
     M   45          12883.0        9.463664      259.531460       47    67356.578869
     M   46          12916.5        9.466261      429.271420       56   184273.951702
     M   47          13541.0        9.513477      439.076198       38   192787.908015
     M   48          13067.5        9.477884      432.002163       48   186625.868587
     M   49          13602.0        9.517972      391.150042       38   152998.355220
     M   50          13278.5        9.493901      481.398969       32   231744.967029
     M   51          13718.5        9.526501      468.942958       38   219907.498185
     M   52          12883.0        9.463664      644.169543       31   414954.399899
     M   53          13913.0        9.540579      508.089239       31   258154.675151
